 Rel. error || Time (s) || Iterations || Stop info || Tensor order || Dimensions || Rank || Optimizer ||
 1.390e+00 || 0.81 || 7 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.397e+00 || 0.80 || 10 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.133e+00 || 0.83 || 11 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.402e+00 || 0.83 || 11 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.424e+00 || 0.86 || 14 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.371e+00 || 0.81 || 10 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.415e+00 || 0.79 || 8 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.412e+00 || 0.79 || 10 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.397e+00 || 0.82 || 8 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 5.843e-15 || 0.79 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.305e+00 || 0.79 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 4.446e-16 || 0.82 || 12 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.385e+00 || 0.78 || 7 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.284e+00 || 0.82 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.403e+00 || 6.18 || 12 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.418e+00 || 6.16 || 10 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.415e+00 || 7.70 || 64 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.414e+00 || 6.21 || 10 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.413e+00 || 12.09 || 12 || 4 || 4 ||8x8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.113e+00 || 1.54 || 9 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.155e+00 || 1.53 || 12 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.348e+00 || 1.53 || 9 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.415e+00 || 1.49 || 7 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.234e+00 || 1.53 || 11 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.304e+00 || 1.50 || 8 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.415e+00 || 1.52 || 9 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.354e+00 || 1.56 || 9 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.357e+00 || 1.53 || 8 || 4 || 3 ||8x8x8x || 1 || 2000 || ls-cpd/nls_gndl
 1.412e+00 || 0.84 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 2.756e-16 || 0.81 || 11 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.410e+00 || 0.81 || 8 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.218e+00 || 0.87 || 20 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.391e+00 || 0.81 || 8 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.413e+00 || 0.81 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.172e+00 || 0.78 || 8 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.156e+00 || 0.83 || 13 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.313e-12 || 0.80 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.394e+00 || 0.85 || 16 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.414e+00 || 0.79 || 10 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.390e+00 || 0.81 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.352e+00 || 0.82 || 13 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.409e+00 || 0.85 || 13 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.341e+00 || 0.79 || 10 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.413e+00 || 0.79 || 8 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.309e+00 || 0.77 || 7 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.385e+00 || 0.85 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.038e+00 || 0.80 || 10 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 2.777e-15 || 0.81 || 9 || 4 || 3 ||8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.318e+00 || 6.18 || 13 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.436e+00 || 6.44 || 22 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.399e+00 || 6.12 || 13 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.358e+00 || 6.17 || 13 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.412e+00 || 6.01 || 10 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.424e+00 || 6.01 || 11 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.416e+00 || 8.53 || 97 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.196e+00 || 6.08 || 11 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.414e+00 || 6.37 || 19 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.414e+00 || 6.05 || 11 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.212e+00 || 6.18 || 15 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.425e+00 || 6.20 || 11 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
