 Rel. error || Time (s) || Iterations || Stop info || Tensor order || Dimensions || Rank || Optimizer ||
 6.114e-02 || 0.04 || 3 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 6.114e-02 || 0.04 || 3 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 6.114e-02 || 0.03 || 3 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 2.245e+00 || 0.11 || 11 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 1.394e+00 || 0.10 || 10 || 2 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 1.393e+00 || 0.16 || 20 || 2 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.393e+00 || 5.72 || 20 || 2 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.393e+00 || 14.11 || 20 || 2 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.393e+00 || 20.71 || 20 || 2 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.392e+00 || 0.20 || 20 || 4 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.392e+00 || 0.22 || 20 || 4 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.651e+00 || 2.27 || 300 || 3 || 3 ||6x6x6x || 2 || 100 || ls-cpd/nls_gndl
 1.920e-01 || 2.05 || 300 || 3 || 3 ||6x6x6x || 2 || 100 || ls-cpd/nls_gndl
 1.359e+00 || 1.99 || 300 || 3 || 3 ||6x6x6x || 2 || 100 || ls-cpd/nls_gndl
 1.433e+00 || 2.18 || 300 || 3 || 3 ||6x6x6x || 2 || 100 || ls-cpd/nls_gndl
 1.170e+00 || 0.14 || 16 || 4 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.170e+00 || 3.44 || 16 || 4 || 3 ||6x6x6x || 1 || 100 || ls-cpd/nls_gndl
 1.433e+00 || 10.60 || 300 || 3 || 3 ||6x6x6x || 2 || 100 || ls-cpd/nls_gndl
 5.301e+00 || 3.78 || 300 || 3 || 3 ||6x6x6x || 2 || 1000 || ls-cpd/nls_gndl
 1.392e+00 || 1.35 || 132 || 4 || 3 ||6x6x6x || 2 || 300 || ls-cpd/nls_gndl
 1.239e+00 || 1.99 || 300 || 3 || 3 ||6x6x6x || 2 || 150 || ls-cpd/nls_gndl
 1.433e+00 || 1.90 || 300 || 3 || 3 ||6x6x6x || 2 || 100 || ls-cpd/nls_gndl
 2.171e+00 || 2.85 || 300 || 3 || 3 ||6x6x6x || 2 || 1000 || ls-cpd/nls_gndl
 2.171e+00 || 2.82 || 300 || 3 || 3 ||6x6x6x || 2 || 1000 || ls-cpd/nls_gndl
 2.504e+00 || 14.21 || 300 || 3 || 3 ||6x6x6x || 2 || 10000 || ls-cpd/nls_gndl
 1.410e+00 || 1.96 || 30 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 4.306e-12 || 0.95 || 6 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.346e-10 || 0.11 || 2 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.985e-12 || 0.33 || 20 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.322e+00 || 0.14 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.322e+00 || 0.15 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.985e-12 || 0.18 || 20 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.985e-12 || 0.18 || 20 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.985e-12 || 0.17 || 20 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.389e+00 || 0.59 || 109 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.389e+00 || 0.57 || 109 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.389e+00 || 0.69 || 113 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.389e+00 || 0.63 || 113 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.389e+00 || 0.66 || 113 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 7.261e-13 || 0.22 || 24 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.222e-13 || 0.23 || 26 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.414e+00 || 0.23 || 29 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.222e-13 || 0.27 || 26 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.222e-13 || 0.24 || 26 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.222e-13 || 0.27 || 26 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.222e-13 || 0.24 || 26 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 8.293e-11 || 0.14 || 6 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 9.035e-12 || 0.17 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 6.073e-15 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.791e-15 || 0.16 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.039e-15 || 0.17 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.081e-14 || 0.17 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.418e+00 || 0.17 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.468e-14 || 0.13 || 7 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.161e-15 || 0.17 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.409e+00 || 0.13 || 7 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 6.985e-14 || 0.15 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 4.285e-11 || 0.17 || 7 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 5.920e-14 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.290e+00 || 0.15 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.419e+00 || 0.14 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 7.559e-13 || 0.16 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.282e+00 || 0.15 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.385e+00 || 0.16 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.410e+00 || 0.14 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.454e-14 || 0.14 || 7 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.015e-11 || 0.15 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 9.959e-01 || 0.17 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.541e-15 || 0.15 || 7 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.308e+00 || 0.15 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 5.709e+00 || 0.39 || 60 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 4.395e-14 || 0.15 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 5.192e+01 || 0.49 || 80 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 6.538e+00 || 1.61 || 300 || 3 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.414e+00 || 0.18 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.403e+00 || 0.18 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 3.244e-12 || 0.17 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.384e+00 || 0.18 || 18 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.416e+00 || 0.16 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.450e+00 || 0.26 || 27 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.196e-15 || 0.15 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.355e+00 || 0.13 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.412e+00 || 0.16 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.390e+00 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.388e+00 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.235e+00 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.076e-12 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.330e+00 || 0.17 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 3.159e-13 || 0.16 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
